No,Name,Specialty,Suggested filename
142,ქრისტინა  დიასამიძე,რეცეფცია,ქრისტინა  დიასამიძე.jpg
143,ქრისტინა ოსტაპოვა,რეანიმაცია / ანესთეზიოლოგია (სტაციონარი),ქრისტინა ოსტაპოვა.jpg
144,ქრისტინე ჩალაძე,პლასტიკური ქირურგია (სტაციონარი),ქრისტინე ჩალაძე.jpg
145,შალვა ბათაძე,ტრანსფუზიოლოგია,შალვა ბათაძე.jpg
146,ცირა ხვადაგიანი,პულმონოლოგი,ცირა ხვადაგიანი.jpg
147,ციური სურმანიძე,სტაციონარი,ციური სურმანიძე.jpg
148,ხათუნა ქურიძე,ლაბორატორია,ხათუნა ქურიძე.jpg
149,ხათუნა ქურიძე,ლაბორატორიის სამსახურის ხელმძღვანელი,ხათუნა ქურიძე.jpg
150,ხათუნა ჯორბენაძე,ეპიდემიოლოგია,ხათუნა ჯორბენაძე.jpg
151,ჯაბა ცხოვრებაშვილი,ოტორინოლარინგოლოგი,ჯაბა ცხოვრებაშვილი.jpg
152,ჯამილა ქარჩხაძე,ალერგოლოგ-იმუნოლოგი,ჯამილა ქარჩხაძე.jpg
153,ჯემალ  ნაკაშიძე,ზოგადი ქირურგია (სტაციონარი),ჯემალ  ნაკაშიძე.jpg
